algorithm,execution_time,dataset,triangle_operations,triangles,initial_graph_triangles,p
Compact Forward,0.2750232219696045,lastfm_asia_edges.csv,29503,4914,39312.0,0.5
Node Iterator,2.8707737922668457,lastfm_asia_edges.csv,722952,14466,42174.92711370264,0.7
Compact Forward,0.4789106845855713,lastfm_asia_edges.csv,63300,14466,42174.92711370264,0.7
Node Iterator,0.9830257892608643,musae_facebook_edges.csv,238797,796,795999.9999999998,0.1
Compact Forward,0.2437448501586914,musae_facebook_edges.csv,13961,796,795999.9999999998,0.1
Node Iterator,7.3208327293396,musae_facebook_edges.csv,1915186,20686,766148.1481481483,0.3
Compact Forward,1.2823193073272705,musae_facebook_edges.csv,197609,20686,766148.1481481483,0.3
Node Iterator,20.350322484970093,musae_facebook_edges.csv,5263299,97195,777560.0,0.5
Compact Forward,3.272329092025757,musae_facebook_edges.csv,605305,97195,777560.0,0.5
Node Iterator,41.87281823158264,musae_facebook_edges.csv,10287025,272084,793247.8134110789,0.7
Compact Forward,6.1506500244140625,musae_facebook_edges.csv,1212936,272084,793247.8134110789,0.7
Node Iterator,5.8635101318359375,soc_Epinions.csv,1555742,1675,1674999.9999999995,0.1
Compact Forward,1.055546760559082,soc_Epinions.csv,102424,1609,1608999.9999999995,0.1
Node Iterator,48.962477922439575,soc_Epinions.csv,13634928,43921,1626703.703703704,0.3
Compact Forward,7.673914432525635,soc_Epinions.csv,1179395,40630,1504814.814814815,0.3
Node Iterator,139.0711750984192,soc_Epinions.csv,37393152,199893,1599144.0,0.5
Compact Forward,20.298073291778564,soc_Epinions.csv,3254940,168884,1351072.0,0.5
Node Iterator,271.8980369567871,soc_Epinions.csv,73037256,552774,1611586.0058309042,0.7
Compact Forward,39.201117753982544,soc_Epinions.csv,6409686,452077,1318008.7463556854,0.7
